"Listing URL","Property Type","Latitude","Longitude","Star Rating","Number of Active Days","Bedrooms","Has pool","Cleaning Fee","Extra Guest Fee","Average Daily Rate LTM","Occupancy Rate LTM","Annual Revenue LTM"
"http://airbnb.com/rooms/61745","Entire Home","33.51919","-112.07347","4.2","3","3","t","350","0","402","40","58804"
"http://airbnb.com/rooms/122773","Entire Home","33.474","-112.064","4.9","361","1","f","0","0","106","100","38796"
"http://airbnb.com/rooms/135612","Condo","33.59669","-111.98771","5","135","1","t","175","0","92","57","21090"
"http://airbnb.com/rooms/241046","Private Room","33.55807","-112.09442","4.9","367","1","t","20","0","61","72","18249"
"http://airbnb.com/rooms/242595","Private Room","33.52938","-112.09639","4.8","145","1","t","0","10","42","64","9839"
"http://airbnb.com/rooms/247845","Entire Home","33.47446","-112.06373","4.8","35","5","f","0","4","1541","100","564006"
"http://airbnb.com/rooms/262609","Entire Home","33.35782","-111.98523","5","129","3","f","0","0","180","100","65880"
"http://airbnb.com/rooms/264285","Entire Home","33.51613","-112.07712","5","4","1","t","50","0","59","100","26169"
"http://airbnb.com/rooms/267547","Entire Home","33.57693","-112.07162","4.8","61","1","t","0","0","98","81","29052"
"http://airbnb.com/rooms/293853","Private Room","33.36299","-111.98255","5","135","1","f","0","0","65","83","19745"
"http://airbnb.com/rooms/319881","Private Room","33.596","-112.083","4.8","107","1","t","325","0","123","41","32909"
"http://airbnb.com/rooms/420248","Condo","33.50757","-112.06097","4.8","11","1","t","99","0","301","76","93596"
"http://airbnb.com/rooms/422497","Entire Home","33.51818","-112.03829","5","235","3","t","195","40","453","39","69520"
"http://airbnb.com/rooms/425749","Private Room","33.36114","-111.98378","0","42","1","f","0","0","91","43","14318"
"http://airbnb.com/rooms/439734","Entire Home","33.518","-112.008","5","249","5","t","350","0","681","49","128819"
"http://airbnb.com/rooms/549898","Condo","33.529","-112.052","5","148","1","f","0","0","115","100","42090"
"http://airbnb.com/rooms/655839","Entire Home","33.461","-112.069","4.9","367","1","t","65","0","203","57","47147"
"http://airbnb.com/rooms/666599","Private Room","33.50751","-112.07218","5","112","1","f","35","0","314","99","115832"
"http://airbnb.com/rooms/744798","Private Room","33.50902","-112.07349","5","18","1","t","0","0","300","40","43920"
"http://airbnb.com/rooms/944034","Private Room","33.48974","-111.96958","5","328","1","t","0","0","99","63","22827"
"http://airbnb.com/rooms/950336","Entire Home","33.51866","-112.02462","5","150","8","t","1000","107","4500","33","570350"
"http://airbnb.com/rooms/964314","Private Room","33.52858","-112.09816","5","240","1","t","0","10","40","36","5270"
"http://airbnb.com/rooms/1004299","Entire Home","33.53313","-112.06102","5","228","4","t","275","0","472","36","65281"
"http://airbnb.com/rooms/1050903","Condo","33.57939","-112.12776","5","7","2","t","140","0","175","86","128309"
"http://airbnb.com/rooms/1118308","Private Room","33.54062","-112.04931","4.8","4","1","t","0","50","51","100","18666"
"http://airbnb.com/rooms/1258689","Entire Home","33.29228","-112.07337","4.8","209","3","t","225","4","379","70","103011"
"http://airbnb.com/rooms/1462076","Entire Home","33.381","-111.975","4.8","151","3","t","199","0","250","50","53950"
"http://airbnb.com/rooms/1552012","Entire Home","33.61378","-111.93222","4.9","326","4","t","250","0","287","55","67316"
"http://airbnb.com/rooms/1567347","Entire Home","33.48293","-112.0989","4.8","59","1","f","65","13","126","35","20980"
"http://airbnb.com/rooms/1593839","Entire Home","33.47446","-112.24057","4.6","28","3","t","250","6","157","34","22810"
"http://airbnb.com/rooms/1601396","Entire Home","33.50918","-111.9612","5","222","5","t","600","15","1741","47","327184"
"http://airbnb.com/rooms/1727774","Entire Home","33.48005","-112.05201","5","110","1","f","0","10","88","33","10627"
"http://airbnb.com/rooms/1960058","Entire Home","33.50849","-111.99967","4.9","72","1","t","85","0","82","100","31740"
"http://airbnb.com/rooms/1965314","Entire Home","33.58048","-112.12619","3.5","213","1","t","120","0","125","72","38095"
"http://airbnb.com/rooms/1980683","Condo","33.582","-112.056","4.5","303","2","t","100","4","165","69","45173"
"http://airbnb.com/rooms/2094464","Entire Home","33.45","-112.056","5","342","3","f","150","8","287","41","47722"
"http://airbnb.com/rooms/2097401","Condo","33.58148","-111.96626","5","65","3","t","250","0","179","46","31544"
"http://airbnb.com/rooms/2156290","Private Room","33.51795","-112.102","4.9","250","1","f","25","0","50","96","18410"
"http://airbnb.com/rooms/2227565","Condo","33.57417","-112.07462","4.8","318","1","t","150","0","67","88","22615"
"http://airbnb.com/rooms/2378093","Private Room","33.51829","-112.1016","4.9","345","1","f","25","0","46","80","14477"
"http://airbnb.com/rooms/2380562","Entire Home","33.48677","-112.05561","4.8","25","3","t","150","0","170","67","70243"
"http://airbnb.com/rooms/2413168","Entire Home","33.50676","-112.07832","4.7","60","Studio","f","140","0","131","70","42102"
"http://airbnb.com/rooms/2447834","Entire Home","33.48674","-112.06472","4.9","163","2","f","85","17","174","54","35343"
"http://airbnb.com/rooms/2448403","Entire Home","33.47313","-111.96531","5","363","1","t","59","19","163","85","57432"
"http://airbnb.com/rooms/2544823","Private Room","33.48087","-111.96317","5","4","1","f","60","10","55","100","25620"
"http://airbnb.com/rooms/2564300","Condo","33.60728","-112.06159","4.8","199","2","t","125","10","176","21","15137"
"http://airbnb.com/rooms/2665478","Private Room","33.61937","-112.011","4.8","236","1","f","75","0","42","52","8575"
"http://airbnb.com/rooms/2698043","Entire Home","33.47083","-112.0625","5","314","2","f","0","0","132","45","21741"
"http://airbnb.com/rooms/2787967","Condo","33.372","-111.984","0","96","1","t","130","0","172","100","87238"
"http://airbnb.com/rooms/2788119","Condo","33.372","-111.984","5","98","2","t","130","0","231","38","38437"
"http://airbnb.com/rooms/2788216","Condo","33.372","-111.984","0","84","3","t","130","0","212","89","84916"
"http://airbnb.com/rooms/2838665","Entire Home","33.5505","-112.04622","4.9","180","3","t","400","0","725","71","207918"
"http://airbnb.com/rooms/2866827","Condo","33.46225","-112.00269","4.8","198","3","t","100","0","230","68","60200"
"http://airbnb.com/rooms/2901793","Entire Home","33.61748","-111.93513","4.9","90","3","t","250","0","274","77","85351"
"http://airbnb.com/rooms/2960242","Private Room","33.512","-112.052","5","7","1","t","0","0","94","69","23738"
"http://airbnb.com/rooms/3655206","Condo","33.48474","-112.06512","4.8","96","1","t","70","0","120","66","32189"
"http://airbnb.com/rooms/3656551","Condo","33.581","-112.056","5","164","2","t","100","4","152","76","46743"
"http://airbnb.com/rooms/3658437","Condo","33.582","-112.056","4.8","257","2","t","100","4","173","61","41187"
"http://airbnb.com/rooms/3658624","Condo","33.582","-112.054","5","197","2","t","100","4","173","85","58651"
"http://airbnb.com/rooms/3694746","Condo","33.45091","-111.96764","4.8","358","2","t","150","0","127","63","34805"
"http://airbnb.com/rooms/3810472","Entire Home","33.49269","-112.00306","5","324","1","t","30","17","165","64","40615"
"http://airbnb.com/rooms/3993183","Entire Home","33.47033","-112.05222","5","291","2","f","0","0","168","90","55339"
"http://airbnb.com/rooms/3994806","Entire Home","33.34441","-111.97668","4.8","30","3","t","250","0","222","76","70906"
"http://airbnb.com/rooms/4023993","Entire Home","33.47825","-111.97069","5","302","1","t","0","10","118","69","29800"
"http://airbnb.com/rooms/4128350","Private Room","33.29821","-111.99492","5","309","1","f","50","15","43","78","13401"
"http://airbnb.com/rooms/4154797","Entire Home","33.55504","-112.07805","4.8","35","4","t","250","0","300","100","128100"
"http://airbnb.com/rooms/4196800","Entire Home","33.49735","-111.98352","5","62","2","f","73","23","206","74","60963"
"http://airbnb.com/rooms/4219071","Entire Home","33.48864","-112.06478","5","193","1","f","65","0","104","51","20769"
"http://airbnb.com/rooms/4261748","Entire Home","33.29993","-112.06026","4.5","46","2","t","100","7","106","94","37260"
"http://airbnb.com/rooms/4279664","Entire Home","33.57249","-112.04294","5","330","9","t","350","7","1076","59","247490"
"http://airbnb.com/rooms/4322820","Entire Home","33.46131","-112.07751","4.9","129","1","f","75","18","292","76","85905"
"http://airbnb.com/rooms/4341475","Entire Home","33.49237","-112.06599","4.6","221","1","f","100","7","77","84","28310"
"http://airbnb.com/rooms/4358593","Entire Home","33.48483","-112.05148","4.8","7","2","f","0","0","254","17","15790"
"http://airbnb.com/rooms/4401025","Condo","33.373","-111.981","0","4","1","t","0","0","206","100","75396"
"http://airbnb.com/rooms/4401208","Condo","33.373","-111.981","5","4","2","t","0","0","239","100","87474"
"http://airbnb.com/rooms/4401397","Condo","33.373","-111.981","0","4","3","t","0","0","271","100","99186"
"http://airbnb.com/rooms/4462429","Entire Home","33.3653","-112.05906","4.5","301","4","f","135","2","153","60","37375"
"http://airbnb.com/rooms/4490534","Entire Home","33.383","-112.011","4.8","365","3","t","165","0","209","51","44802"
"http://airbnb.com/rooms/4541362","Condo","33.58577","-111.97369","4.9","6","2","t","150","75","87","100","59292"
"http://airbnb.com/rooms/4568492","Entire Home","33.54722","-112.14129","4.8","361","6","t","150","0","351","35","50438"
"http://airbnb.com/rooms/4606246","Entire Home","33.527","-112.023","4.5","275","2","t","165","3","171","83","54362"
"http://airbnb.com/rooms/4607616","Condo","33.529","-112.052","5","183","2","f","0","6","110","100","40260"
"http://airbnb.com/rooms/4614383","Entire Home","33.47127","-111.98282","4.8","11","3","t","130","0","269","100","102779"
"http://airbnb.com/rooms/4713385","Entire Home","33.47255","-111.9819","4.9","4","1","t","35","0","173","100","66520"
"http://airbnb.com/rooms/4778726","Entire Home","33.50076","-112.02749","5","17","3","t","150","0","275","42","51972"
"http://airbnb.com/rooms/4781337","Condo","33.45077","-112.06542","4.8","40","2","t","175","0","323","51","68296"
"http://airbnb.com/rooms/4815328","Entire Home","33.53658","-112.00447","5","333","4","t","500","0","540","18","35576"
"http://airbnb.com/rooms/4819866","Entire Home","33.47854","-112.01955","4.5","35","1","f","0","0","54","100","19764"
"http://airbnb.com/rooms/4841576","Entire Home","33.54216","-112.10917","4.8","46","1","f","0","0","142","57","29622"
"http://airbnb.com/rooms/4847061","Entire Home","33.37903","-112.01973","4.8","241","2","t","145","3","144","58","35412"
"http://airbnb.com/rooms/4860426","Entire Home","33.50466","-112.0072","5","153","2","f","175","0","717","73","191569"
"http://airbnb.com/rooms/4901065","Private Room","33.4775","-112.10062","4.8","177","1","t","35","10","77","75","22078"
"http://airbnb.com/rooms/4909557","Entire Home","33.56994","-112.04497","5","46","Studio","f","100","0","80","100","32463"
"http://airbnb.com/rooms/4952230","Condo","33.38553","-112.01314","4.8","35","Studio","f","99","0","234","27","28297"
"http://airbnb.com/rooms/4955915","Entire Home","33.46488","-112.07711","5","4","1","f","50","0","90","100","32940"
"http://airbnb.com/rooms/4957304","Entire Home","33.41682","-112.26908","4.9","298","4","t","150","0","196","87","71806"
"http://airbnb.com/rooms/4965301","Entire Home","33.47323","-111.97185","4.9","209","2","t","90","0","93","100","42549"
"http://airbnb.com/rooms/4975977","Private Room","33.4574","-112.07641","5","4","1","f","0","0","80","100","29280"
"http://airbnb.com/rooms/4978697","Condo","33.58793","-111.95968","5","54","1","f","99","0","253","44","46109"
"http://airbnb.com/rooms/4988810","Entire Home","33.4796","-112.10101","5","151","Studio","f","45","0","101","100","40784"
"http://airbnb.com/rooms/4989294","Entire Home","33.51497","-111.97302","5","339","5","t","500","9","2682","51","520056"
"http://airbnb.com/rooms/4998513","Entire Home","33.4571","-112.07981","4.8","6","Studio","f","60","0","900","80","263520"
"http://airbnb.com/rooms/5002488","Entire Home","33.44316","-112.0678","4.8","17","2","f","80","0","183","64","48032"
"http://airbnb.com/rooms/5007662","Private Room","33.47723","-111.98952","0","14","1","f","0","0","200","69","50508"
"http://airbnb.com/rooms/5013072","Private Room","33.58655","-111.95952","3.9","69","1","t","0","0","219","80","64124"
"http://airbnb.com/rooms/5022119","Entire Home","33.47745","-112.10255","4.9","192","3","t","150","0","506","41","77645"
"http://airbnb.com/rooms/5031245","Entire Home","33.582","-112.033","5","156","3","t","200","4","453","18","30782"
